YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
2001D,:Kentucky|370564000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001S,:Kentucky|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3094140|State Quarters
2001S,:Kentucky:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|8|889697|State Quarters

2002P,:Tennessee|361600000|-1|-1|-1|-1|.30|-1|.40|-1|-1||State Quarters
2002D,:Tennessee|286468000|-1|-1|-1|-1|.30|-1|.40|-1|-1||State Quarters
2002S,:Tennessee|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3084245|State Quarters
2002S,:Tennessee:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|892229|State Quarters
2002P,:Ohio|217200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002D,:Ohio|414832000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002S,:Ohio|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3084245|State Quarters
2002S,:Ohio:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|892229|State Quarters
2002P,:Louisiana|362000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002D,:Louisiana|402204000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002S,:Louisiana|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3084245|State Quarters
2002S,:Louisiana:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|892229|State Quarters
2002P,:Indiana|362600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002D,:Indiana|327200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002S,:Indiana|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3084245|State Quarters
2002S,:Indiana:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|892229|State Quarters
2002P,:Mississippi|290000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002D,:Mississippi|289600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2002S,:Mississippi|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3084245|State Quarters
2002S,:Mississippi:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|892229|State Quarters

2003P,:Illinois|225800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003D,:Illinois|237400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003S,:Illinois|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3408516|State Quarters
2003S,:Illinois:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1125755|State Quarters
2003P,:Alabama|225000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003D,:Alabama|232400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003S,:Alabama|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3408516|State Quarters
2003S,:Alabama:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1125755|State Quarters
2003P,:Maine|217400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003D,:Maine|231400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003S,:Maine|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3408516|State Quarters
2003S,:Maine:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1125755|State Quarters
2003P,:Missouri|225000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003D,:Missouri|228200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003S,:Missouri|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3408516|State Quarters
2003S,:Missouri:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1125755|State Quarters
2003P,:Arkansas|228000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003D,:Arkansas|229800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2003S,:Arkansas|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3408516|State Quarters
2003S,:Arkansas:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1125755|State Quarters

2004P,:Michigan|233800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
