COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|IS_GOLD|IS_SILVER
Nickel|Three-Cent Piece|1873||0|0

Nickel|Three-Cent Piece|1874||0|0

Nickel|Three-Cent Piece|1875||0|0

Nickel|Three-Cent Piece|1876||0|0

Nickel|Three-Cent Piece|1877||0|0

Nickel|Three-Cent Piece|1878||0|0

Nickel|Three-Cent Piece|1879||0|0

Nickel|Three-Cent Piece|1880||0|0

Nickel|Three-Cent Piece|1881||0|0

Nickel|Three-Cent Piece|1882||0|0

Nickel|Three-Cent Piece|1883||0|0

Nickel|Three-Cent Piece|1884||0|0

Nickel|Three-Cent Piece|1885||0|0

Nickel|Three-Cent Piece|1886||0|0

Nickel|Three-Cent Piece|1887||0|0

Nickel|Three-Cent Piece|1888||0|0

Nickel|Three-Cent Piece|1889||0|0

Shield|Nickel|1866||0|0

Shield|Nickel|1867||0|0

Shield|Nickel|1868||0|0

Shield|Nickel|1869||0|0

Shield|Nickel|1870||0|0

Shield|Nickel|1871||0|0

Shield|Nickel|1872||0|0

Shield|Nickel|1873||0|0

Shield|Nickel|1874||0|0

Shield|Nickel|1875||0|0

Shield|Nickel|1876||0|0

Shield|Nickel|1877||0|0

Shield|Nickel|1878||0|0

Shield|Nickel|1879||0|0

Shield|Nickel|1880||0|0

Shield|Nickel|1881||0|0

Shield|Nickel|1882||0|0

Shield|Nickel|1883||0|0

Liberty Head|Nickel|1883||0|0

Liberty Head|Nickel|1884||0|0

Liberty Head|Nickel|1885||0|0

Liberty Head|Nickel|1886||0|0

Liberty Head|Nickel|1887||0|0

Liberty Head|Nickel|1888||0|0

Liberty Head|Nickel|1889||0|0

Liberty Head|Nickel|1890||0|0

Liberty Head|Nickel|1891||0|0

Liberty Head|Nickel|1892||0|0

Liberty Head|Nickel|1893||0|0

Liberty Head|Nickel|1894||0|0

Liberty Head|Nickel|1895||0|0

Liberty Head|Nickel|1896||0|0

Liberty Head|Nickel|1897||0|0

Liberty Head|Nickel|1898||0|0

Liberty Head|Nickel|1899||0|0

Liberty Head|Nickel|1900||0|0

Liberty Head|Nickel|1901||0|0

Liberty Head|Nickel|1902||0|0

Liberty Head|Nickel|1903||0|0

Liberty Head|Nickel|1904||0|0

Liberty Head|Nickel|1905||0|0

Liberty Head|Nickel|1906||0|0

Liberty Head|Nickel|1907||0|0

Liberty Head|Nickel|1908||0|0

Liberty Head|Nickel|1909||0|0

Liberty Head|Nickel|1910||0|0

Liberty Head|Nickel|1911||0|0

Liberty Head|Nickel|1912||0|0

Liberty Head|Nickel|1913||0|0

Indian Head or Buffalo|Nickel|1913|Variety 1 - FIVE CENTS on Raised Ground|0|0

Indian Head or Buffalo|Nickel|1913|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1914|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1915|Variety 2 - FIVE CENTS in Recess|0|0
